,Location Address,City,State,Location Name,full_address,Latitude,Longitude
0,2801 South W.S. Young Dr,Killeen,TX,LWS0209,"2801 South W.S. Young Dr Killeen, TX",31.0878459,-97.7219818
1,200 Hwy. 332 East,Lake Jackson,TX,LWS0137,"200 Hwy. 332 East Lake Jackson, TX",29.0430553,-95.45528759999999
2,2211 Ih 35 South,San Marcos,TX,LWS0159,"2211 Ih 35 South San Marcos, TX",29.8540764,-97.9516986
3,4950 Promenade Blvd,Marrero,LA,LWS2975,"4950 Promenade Blvd Marrero, LA",29.900823,-90.094258
4,6400 Brodie Lane,Austin,TX,LWS2513,"6400 Brodie Lane Austin, TX",30.220013,-97.8288492
5,809 Morrison Drive,Ruston,LA,LWS2418,"809 Morrison Drive Ruston, LA",32.5459574,-92.6285118
6,1000 Gulfgate Center Mall,Houston,TX,LWS1128,"1000 Gulfgate Center Mall Houston, TX",29.6979134,-95.2977511
7,20201 N. Ih45,Spring,TX,LWS0563,"20201 N. Ih45 Spring, TX",30.0599221,-95.4352024
8,1470 Austin Highway,San Antonio,TX,LWS1645,"1470 Austin Highway San Antonio, TX",29.4913867,-98.4336733
9,201 North New Road,Waco,TX,LWS0129,"201 North New Road Waco, TX",31.5245087,-97.16878009999999
10,7355 Fm 1960 Road East,Humble,TX,LWS1530,"7355 Fm 1960 Road East Humble, TX",30.0001181,-95.1665033
11,13201 N Ranch Rd 620 Bldg G,Austin,TX,LWS0590,"13201 N Ranch Rd 620 Bldg G Austin, TX",30.4177165,-97.8468807
12,120 Ridge Way,Flowood,MS,LWS2553,"120 Ridge Way Flowood, MS",32.3384425,-90.16966219999999
13,6161 E. Sam Houston Pkwy North,Houston,TX,LWS1145,"6161 E. Sam Houston Pkwy North Houston, TX",29.81273449999999,-95.16538969999999
14,1351 Manhattan Blvd.,Harvey,LA,LWS1085,"1351 Manhattan Blvd. Harvey, LA",29.8963757,-90.05838729999999
15,305 S. Cities Service Highway,Sulphur,LA,LWS1899,"305 S. Cities Service Highway Sulphur, LA",30.2196041,-93.3234701
16,9505 Spring Green Blvd,Katy,TX,LWS3306,"9505 Spring Green Blvd Katy, TX",29.6993022,-95.8161011
17,14236 Fm2920,Tomball,TX,LWS1052,"14236 Fm2920 Tomball, TX",30.0920071,-95.6376142
18,2800 Derek Drive,Lake Charles,LA,LWS0589,"2800 Derek Drive Lake Charles, LA",30.1919088,-93.1766715
19,17280 Ih 35 N,Schertz,TX,LWS2824,"17280 Ih 35 N Schertz, TX",29.5956933,-98.28045499999999
20,10303 South Mall Dr.,Baton Rouge,LA,LWS0186,"10303 South Mall Dr. Baton Rouge, LA",30.3756118,-91.06609639999999
21,11333 Bandera Rod,San Antonio,TX,LWS1088,"11333 Bandera Rod San Antonio, TX",29.5489889,-98.66269009999999
22,12611 Suite 100 Shops Pkwy,Bee Cave,TX,LWS1948,"12611 Suite 100 Shops Pkwy Bee Cave, TX",30.305366,-97.9415246
23,900 West Gibson,Jasper,TX,LWS1769,"900 West Gibson Jasper, TX",30.9062463,-94.0189448
24,9020 Highway 603,Waveland,MS,LWS2350,"9020 Highway 603 Waveland, MS",30.3098466,-89.3806113
25,1105 Central Drive,Philadelphia,MS,LWS2208,"1105 Central Drive Philadelphia, MS",32.7623577,-89.1475277
26,1490 Highway 15 North,Laurel,MS,LWS2563,"1490 Highway 15 North Laurel, MS",31.707327,-89.150514
27,8000 Shoal Creek Boulevard,Austin,TX,LWS1727,"8000 Shoal Creek Boulevard Austin, TX",30.364622,-97.74116099999999
28,19225 Gulf Freeway,Webster,TX,LWS0651,"19225 Gulf Freeway Webster, TX",29.5447581,-95.14108929999999
29,3225 Freedom Blvd.,Bryan,TX,LWS0103,"3225 Freedom Blvd. Bryan, TX",30.6580173,-96.32682349999999
30,120 Sundance Parkway,Round Rock,TX,LWS0778,"120 Sundance Parkway Round Rock, TX",30.4858881,-97.6781905
31,2816 Highway 14,New Iberia,LA,LWS1107,"2816 Highway 14 New Iberia, LA",29.9948554,-91.81713599999999
32,3700 Sangani Blvd.,Diberville,MS,LWS0690,"3700 Sangani Blvd. Diberville, MS",30.4601105,-88.89751760000001
33,3301 Denny Avenue,Pascagoula,MS,LWS0712,"3301 Denny Avenue Pascagoula, MS",30.3797892,-88.527676
34,19935 Katy Freeway,Houston,TX,LWS0098,"19935 Katy Freeway Houston, TX",29.7831106,-95.71367889999999
35,3726 Ambassador Caffery,Lafayette,LA,LWS0484,"3726 Ambassador Caffery Lafayette, LA",30.170216,-92.0684552
36,1592 Martin Luther King Blvd.,Houma,LA,LWS0596,"1592 Martin Luther King Blvd. Houma, LA",29.6104657,-90.7476743
37,1777 Millerville Road,Baton Rouge,LA,LWS2484,"1777 Millerville Road Baton Rouge, LA",30.4434763,-91.02286409999999
38,1530 Airline Road,Corpus Christi,TX,LWS1825,"1530 Airline Road Corpus Christi, TX",27.7008889,-97.36126259999999
39,13000 N I35 Svc Rd Sb Bldg 12,Austin,TX,LWS1725,"13000 N I35 Svc Rd Sb Bldg 12 Austin, TX",30.4155932,-97.6755623
40,910 East County Line,Ridgeland,MS,LWS2622,"910 East County Line Ridgeland, MS",32.4013495,-90.1402081
